Time,Lon,Lat,,,,Position,Start Time,End Time,,Longitude,St.dev Lon,,Latitude,St.dev Lat
06:04.0,114.897955,4.97838867,,,,,,,,,,,,
06:05.0,114.897955,4.97838867,,,,,,,,,,,,
06:07.0,114.8979552,4.9783885,,,,,,,,,,,,
06:08.0,114.8979552,4.9783885,,,,,,,,,,,,
06:10.0,114.8979553,4.9783885,,,,,,,,,,,,
06:11.0,114.8979555,4.97838833,,,,,,,,,,,,
06:13.0,114.8979557,4.97838833,,,,,,,,,,,,
06:15.0,114.8979558,4.97838817,,,,,,,,,,,,
06:17.0,114.897956,4.978388,,,,,,,,,,,,
06:18.0,114.8979562,4.978388,,,,,,,,,,,,
06:19.0,114.8979562,4.978388,,,,,,,,,,,,
06:20.0,114.8979563,4.97838783,,,,,,,,,,,,
06:21.0,114.8979563,4.97838783,,,,,,,,,,,,
06:22.0,114.8979565,4.97838767,,,,,,,,,,,,
06:23.0,114.8979567,4.97838767,,,,,,,,,,,,
06:24.0,114.8979567,4.9783875,,,,,,,,,,,,
06:25.0,114.8979568,4.9783875,,,,,,,,,,,,
06:26.0,114.8979572,4.9783875,,,,,,,,,,,,
06:28.0,114.8979575,4.97838733,,,,,,,,,,,,
06:30.0,114.8979577,4.97838717,,,,,,,,,,,,
06:31.0,114.8979577,4.97838717,,,,,,,,,,,,
06:33.0,114.897958,4.978387,,,,,,,,,,,,
06:35.0,114.8979582,4.97838683,,,,,,,,,,,,
06:37.0,114.8979585,4.97838683,,,,,,,,,,,,
06:38.0,114.8979587,4.97838683,,,,,,,,,,,,
06:39.0,114.8979588,4.97838683,,,,,,,,,,,,
06:41.0,114.8979592,4.97838683,,,,,,,,,,,,
06:42.0,114.8979593,4.97838683,,,,,,,,,,,,
06:43.0,114.8979595,4.97838683,,,,,,,,,,,,
06:44.0,114.8979597,4.97838683,,,,,,,,,,,,
06:45.0,114.8979598,4.97838667,,,,,,,,,,,,
06:46.0,114.8979598,4.97838667,,,,,,,,,,,,
06:47.0,114.89796,4.97838667,,,,,,,,,,,,
06:49.0,114.8979602,4.97838667,,,,,,,,,,,,
06:51.0,114.8979605,4.97838683,,,,,,,,,,,,
06:52.0,114.8979605,4.978387,,,,,,,,,,,,
06:54.0,114.8979607,4.978387,,,,,,,,,,,,
06:56.0,114.8979608,4.978387,,,,,,,,,,,,
06:58.0,114.897961,4.97838717,,,,,,,,,,,,
06:59.0,114.897961,4.97838717,,,,,,,,,,,,
07:01.0,114.8979612,4.97838717,,,,,,,,,,,,
07:02.0,114.8979613,4.97838733,,,,,,,,,,,,
07:04.0,114.8979613,4.97838733,,,,,,,,,,,,
07:05.0,114.8979613,4.97838733,,,,,,,,,,,,
07:07.0,114.8979612,4.9783875,,,,,,,,,,,,
07:09.0,114.8979613,4.97838767,,,,,,,,,,,,
07:11.0,114.8979613,4.97838783,,,,,,,,,,,,
07:13.0,114.8979615,4.978388,,,,,,,,,,,,
07:14.0,114.8979615,4.978388,,,,,,,,,,,,
07:16.0,114.8979613,4.97838833,,,,,,,,,,,,
07:18.0,114.8979612,4.97838867,,,,,,,,,,,,
07:19.0,114.8979612,4.97838883,,,,,,,,,,,,
07:21.0,114.897961,4.97838917,,,,,,,,,,,,
07:23.0,114.897961,4.9783895,,,,,,,,,,,,
07:24.0,114.897961,4.97838967,,,,,,,,,,,,
07:25.0,114.897961,4.97838967,,,,,,,,,,,,
07:26.0,114.897961,4.97838967,,,,,,,,,,,,
07:27.0,114.8979608,4.97838967,,,,,,,,,,,,
07:29.0,114.8979608,4.97838967,,,,,,,,,,,,
07:30.0,114.897961,4.97838967,,,,,,,,,,,,
07:31.0,114.897961,4.9783895,,,,,,,,,,,,
07:32.0,114.8979612,4.97838933,,,,,,,,,,,,
07:34.0,114.8979612,4.97838917,,,,,,,,,,,,
07:35.0,114.8979612,4.97838917,,,,,,,,,,,,
07:36.0,114.8979613,4.978389,,,,,,,,,,,,
07:37.0,114.8979613,4.978389,,,,,,,,,,,,
07:39.0,114.8979613,4.978389,,,,,,,,,,,,
07:40.0,114.8979615,4.97838917,,,,,,,,,,,,
07:41.0,114.8979615,4.97838917,,,,,,,,,,,,
