Time,Lon,Lat,,,,,UTC
07:57.0,114.8979612,4.97838233,,,,,19:42.0
07:58.0,114.8979612,4.97838233,,,,,19:43.0
07:59.0,114.8979612,4.97838233,,,,,19:44.0
08:01.0,114.8979612,4.97838233,,,,,19:46.0
08:02.0,114.8979612,4.97838233,,,,,19:47.0
08:03.0,114.8979613,4.9783825,,,,,19:48.0
08:04.0,114.8979613,4.97838267,,,,,19:49.0
08:06.0,114.8979625,4.97838417,,,,,19:51.0
08:08.0,114.8979683,4.97838733,,,,,19:53.0
08:10.0,114.8979863,4.9783965,,,,,19:55.0
08:11.0,114.897994,4.97840217,,,,,19:56.0
08:12.0,114.8980008,4.9784095,,,,,19:57.0
08:13.0,114.8980073,4.97841617,,,,,19:58.0
08:14.0,114.898015,4.97842183,,,,,19:59.0
08:16.0,114.8980313,4.9784305,,,,,20:01.0
08:17.0,114.8980397,4.97843417,,,,,20:02.0
08:18.0,114.8980475,4.97843767,,,,,20:03.0
08:19.0,114.8980567,4.97844217,,,,,20:04.0
08:20.0,114.8980637,4.97844633,,,,,20:05.0
08:21.0,114.8980705,4.97845,,,,,20:06.0
08:22.0,114.8980793,4.97845017,,,,,20:07.0
08:23.0,114.898087,4.97844933,,,,,20:08.0
08:24.0,114.8980908,4.97845,,,,,20:09.0
08:26.0,114.898094,4.97844983,,,,,20:11.0
08:28.0,114.8980933,4.97845067,,,,,20:13.0
08:30.0,114.8980935,4.978451,,,,,20:15.0
08:31.0,114.8980935,4.97845117,,,,,20:16.0
08:32.0,114.8980933,4.97845133,,,,,20:17.0
08:33.0,114.898093,4.97845133,,,,,20:18.0
08:34.0,114.898093,4.97845133,,,,,20:19.0
08:35.0,114.898093,4.9784515,,,,,20:20.0
08:36.0,114.898093,4.9784515,,,,,20:21.0
08:38.0,114.8980933,4.97845167,,,,,20:23.0
08:39.0,114.8980935,4.97845167,,,,,20:24.0
08:40.0,114.8980935,4.97845183,,,,,20:25.0
08:41.0,114.8980937,4.97845183,,,,,20:26.0
08:43.0,114.8980938,4.978452,,,,,20:28.0
08:44.0,114.8980938,4.978452,,,,,20:29.0
08:46.0,114.898094,4.97845233,,,,,20:31.0
08:47.0,114.8980942,4.97845233,,,,,20:32.0
08:49.0,114.8980942,4.9784525,,,,,20:34.0
08:52.0,114.8980945,4.97845267,,,,,20:37.0
08:54.0,114.8980947,4.97845283,,,,,20:39.0
08:55.0,114.8980948,4.97845283,,,,,20:40.0
08:59.0,114.8980952,4.97845317,,,,,20:44.0
09:00.0,114.8980953,4.97845317,,,,,20:45.0
09:01.0,114.8980955,4.97845317,,,,,20:46.0
09:02.0,114.8980957,4.97845333,,,,,20:47.0
09:03.0,114.8980958,4.97845333,,,,,20:48.0
09:04.0,114.898096,4.97845333,,,,,20:49.0
09:05.0,114.8980962,4.97845333,,,,,20:50.0
09:06.0,114.8980963,4.97845333,,,,,20:51.0
09:07.0,114.8980963,4.97845333,,,,,20:52.0
09:08.0,114.8980963,4.9784535,,,,,20:53.0
09:10.0,114.8980965,4.9784535,,,,,20:55.0
09:11.0,114.8980965,4.9784535,,,,,20:56.0
09:13.0,114.8980967,4.97845367,,,,,20:58.0
09:14.0,114.8980967,4.97845367,,,,,20:59.0
09:16.0,114.8980968,4.97845383,,,,,21:01.0
09:18.0,114.8980968,4.978454,,,,,21:03.0
09:19.0,114.898097,4.978454,,,,,21:04.0
09:20.0,114.898097,4.97845417,,,,,21:05.0
09:21.0,114.8980968,4.97845417,,,,,21:06.0
09:22.0,114.898097,4.97845417,,,,,21:07.0
09:23.0,114.898097,4.97845433,,,,,21:08.0
09:24.0,114.898097,4.97845433,,,,,21:09.0
09:25.0,114.8980968,4.97845433,,,,,21:10.0
09:26.0,114.8980968,4.9784545,,,,,21:11.0
09:28.0,114.8980967,4.9784545,,,,,21:13.0
09:30.0,114.8980967,4.97845467,,,,,21:15.0
09:31.0,114.8980967,4.97845467,,,,,21:16.0
09:32.0,114.8980967,4.97845467,,,,,21:17.0
09:34.0,114.8980967,4.97845467,,,,,21:19.0
09:35.0,114.8980967,4.97845483,,,,,21:20.0
09:36.0,114.8980968,4.97845483,,,,,21:21.0
09:38.0,114.8980967,4.97845483,,,,,21:23.0
09:40.0,114.8980967,4.978455,,,,,21:25.0
09:41.0,114.8980967,4.978455,,,,,21:26.0
09:42.0,114.8980967,4.978455,,,,,21:27.0
09:43.0,114.8980967,4.97845517,,,,,21:28.0
09:44.0,114.8980967,4.97845517,,,,,21:29.0
09:45.0,114.8980965,4.97845517,,,,,21:30.0
09:46.0,114.8980965,4.97845517,,,,,21:31.0
09:47.0,114.8980965,4.97845533,,,,,21:32.0
09:48.0,114.8980963,4.97845533,,,,,21:33.0
09:50.0,114.8980963,4.97845533,,,,,21:35.0
09:52.0,114.8980965,4.97845533,,,,,21:37.0
09:53.0,114.8980965,4.97845533,,,,,21:38.0
09:55.0,114.8980965,4.97845533,,,,,21:40.0
09:57.0,114.8980965,4.9784555,,,,,21:42.0
09:59.0,114.8980963,4.9784555,,,,,21:44.0
10:01.0,114.8980963,4.97845567,,,,,21:46.0
10:03.0,114.8980963,4.97845567,,,,,21:48.0
10:05.0,114.8980962,4.97845567,,,,,21:50.0
10:06.0,114.8980962,4.97845567,,,,,21:51.0
10:07.0,114.8980963,4.97845567,,,,,21:52.0
10:08.0,114.8980963,4.97845567,,,,,21:53.0
10:10.0,114.8980962,4.97845567,,,,,21:55.0
10:11.0,114.8980962,4.97845567,,,,,21:56.0
10:12.0,114.8980963,4.97845567,,,,,21:57.0
10:14.0,114.8980963,4.97845567,,,,,21:59.0
10:16.0,114.8980963,4.97845567,,,,,22:01.0
10:17.0,114.8980963,4.97845567,,,,,22:02.0
10:18.0,114.8980963,4.97845567,,,,,22:03.0
10:19.0,114.8980963,4.97845567,,,,,22:04.0
10:20.0,114.8980965,4.97845583,,,,,22:05.0
10:22.0,114.8980965,4.97845583,,,,,22:07.0
10:23.0,114.8980965,4.97845583,,,,,22:08.0
10:24.0,114.8980965,4.97845583,,,,,22:09.0
10:25.0,114.8980965,4.97845583,,,,,22:10.0
10:26.0,114.8980965,4.97845583,,,,,22:11.0
10:27.0,114.8980965,4.97845583,,,,,22:12.0
10:28.0,114.8980965,4.978456,,,,,22:13.0
10:29.0,114.8980965,4.978456,,,,,22:14.0
10:30.0,114.8980963,4.978456,,,,,22:15.0
10:31.0,114.8980965,4.978456,,,,,22:16.0
10:32.0,114.8980963,4.978456,,,,,22:17.0
10:33.0,114.8980963,4.97845617,,,,,22:18.0
10:35.0,114.8980963,4.97845617,,,,,22:20.0
10:37.0,114.8980963,4.97845617,,,,,22:22.0
10:39.0,114.8980963,4.97845617,,,,,22:24.0
10:41.0,114.8980962,4.97845617,,,,,22:26.0
10:43.0,114.8980965,4.97845633,,,,,22:28.0
10:45.0,114.8980975,4.97845267,,,,,22:30.0
10:47.0,114.898108,4.97844367,,,,,22:32.0
10:48.0,114.8981133,4.97843933,,,,,22:33.0
10:49.0,114.8981187,4.97843383,,,,,22:34.0
10:50.0,114.8981228,4.97842817,,,,,22:35.0
10:51.0,114.8981263,4.97842133,,,,,22:36.0
10:52.0,114.8981293,4.978414,,,,,22:37.0
10:54.0,114.8981357,4.97839633,,,,,22:39.0
10:56.0,114.8981415,4.9783795,,,,,22:41.0
10:58.0,114.8981465,4.97836167,,,,,22:43.0
11:00.0,114.8981522,4.9783435,,,,,22:45.0
11:01.0,114.8981545,4.97833417,,,,,22:46.0
11:02.0,114.8981563,4.978325,,,,,22:47.0
11:03.0,114.8981588,4.9783145,,,,,22:48.0
11:04.0,114.8981622,4.97830433,,,,,22:49.0
11:05.0,114.8981652,4.9782945,,,,,22:50.0
11:06.0,114.8981677,4.97828467,,,,,22:51.0
11:07.0,114.8981695,4.9782745,,,,,22:52.0
11:08.0,114.8981717,4.97826533,,,,,22:53.0
11:09.0,114.8981743,4.97825567,,,,,22:54.0
11:10.0,114.898179,4.97824517,,,,,22:55.0
11:11.0,114.8981838,4.978236,,,,,22:56.0
11:12.0,114.8981898,4.97822667,,,,,22:57.0
11:13.0,114.8981965,4.97821917,,,,,22:58.0
11:14.0,114.8982052,4.97821367,,,,,22:59.0
11:15.0,114.8982153,4.97820883,,,,,23:00.0
11:17.0,114.8982382,4.9782,,,,,23:02.0
11:19.0,114.8982598,4.9781925,,,,,23:04.0
11:21.0,114.8982777,4.97818633,,,,,23:06.0
11:22.0,114.8982867,4.97818333,,,,,23:07.0
11:23.0,114.8982947,4.9781805,,,,,23:08.0
11:25.0,114.8983093,4.97817117,,,,,23:10.0
11:26.0,114.898315,4.97816567,,,,,23:11.0
11:27.0,114.8983165,4.97815767,,,,,23:12.0
11:28.0,114.8983155,4.97814883,,,,,23:13.0
11:29.0,114.8983132,4.97814,,,,,23:14.0
11:30.0,114.8983113,4.97813233,,,,,23:15.0
11:31.0,114.8983097,4.978124,,,,,23:16.0
11:32.0,114.8983078,4.97811433,,,,,23:17.0
11:33.0,114.8983058,4.97810417,,,,,23:18.0
