Index,UTC,Time,Lon,Lat,,Position,Start Time,End Time,,Longitude,St.dev Lon,,Latitude,St.dev Lat
316,50:12.0,07:48.0,114.8979615,4.978389,,,,,,,,,,
317,50:14.0,07:50.0,114.8979613,4.978389,,,,,,,,,,
318,50:15.0,07:51.0,114.8979613,4.978389,,,,,,,,,,
319,50:16.0,07:52.0,114.8979613,4.978389,,,,,,,,,,
320,50:17.0,07:53.0,114.8979612,4.978389,,,,,,,,,,
321,50:18.0,07:54.0,114.8979612,4.978389,,,,,,,,,,
322,50:20.0,07:56.0,114.897961,4.978389,,,,,,,,,,
323,50:22.0,07:58.0,114.8979608,4.97838917,,,,,,,,,,
324,50:24.0,08:00.0,114.8979632,4.97838967,,,,,,,,,,
325,50:25.0,08:01.0,114.8979647,4.978389,,,,,,,,,,
326,50:26.0,08:02.0,114.8979672,4.978389,,,,,,,,,,
327,50:27.0,08:03.0,114.8979733,4.97839017,,,,,,,,,,
328,50:28.0,08:04.0,114.89798,4.978396,,,,,,,,,,
329,50:30.0,08:06.0,114.8979983,4.97840967,,,,,,,,,,
330,50:31.0,08:07.0,114.8980052,4.97841517,,,,,,,,,,
331,50:32.0,08:08.0,114.8980118,4.9784205,,,,,,,,,,
332,50:33.0,08:09.0,114.8980185,4.97842517,,,,,,,,,,
333,50:34.0,08:10.0,114.8980252,4.9784295,,,,,,,,,,
334,50:36.0,08:12.0,114.898041,4.97843933,,,,,,,,,,
335,50:37.0,08:13.0,114.8980498,4.97844417,,,,,,,,,,
336,50:39.0,08:15.0,114.8980682,4.9784525,,,,,,,,,,
337,50:41.0,08:17.0,114.8980808,4.9784605,,,,,,,,,,
338,50:43.0,08:19.0,114.898094,4.97846317,,,,,,,,,,
339,50:45.0,08:21.0,114.8980992,4.97846117,,,,,,,,,,
340,50:46.0,08:22.0,114.8980997,4.97846033,,,,,,,,,,
341,50:48.0,08:24.0,114.8980992,4.97846033,,,,,,,,,,
342,50:50.0,08:26.0,114.898099,4.97846017,,,,,,,,,,
343,50:51.0,08:27.0,114.898099,4.97846033,,,,,,,,,,
344,50:52.0,08:28.0,114.898099,4.97846033,,,,,,,,,,
345,50:54.0,08:30.0,114.8980988,4.9784605,,,,,,,,,,
346,50:56.0,08:32.0,114.8980987,4.97846067,,,,,,,,,,
347,50:57.0,08:33.0,114.8980987,4.97846083,,,,,,,,,,
348,50:58.0,08:34.0,114.8980987,4.978461,,,,,,,,,,
349,50:59.0,08:35.0,114.8980987,4.978461,,,,,,,,,,
350,51:01.0,08:37.0,114.8980987,4.97846117,,,,,,,,,,
351,51:03.0,08:39.0,114.8980987,4.97846133,,,,,,,,,,
352,51:05.0,08:41.0,114.8980985,4.97846117,,,,,,,,,,
353,51:10.0,08:46.0,114.8980985,4.97846083,,,,,,,,,,
354,51:13.0,08:49.0,114.8980983,4.97846067,,,,,,,,,,
355,51:15.0,08:51.0,114.8980985,4.97846033,,,,,,,,,,
356,51:17.0,08:53.0,114.8980987,4.97846017,,,,,,,,,,
357,51:19.0,08:55.0,114.8980987,4.97846,,,,,,,,,,
358,51:20.0,08:56.0,114.8980987,4.97846,,,,,,,,,,
359,51:22.0,08:58.0,114.8980983,4.97846,,,,,,,,,,
360,51:23.0,08:59.0,114.8980983,4.97846,,,,,,,,,,
361,51:27.0,09:03.0,114.8980983,4.97846,,,,,,,,,,
362,51:29.0,09:05.0,114.8980982,4.97845983,,,,,,,,,,
363,51:31.0,09:07.0,114.8980982,4.9784595,,,,,,,,,,
364,51:32.0,09:08.0,114.8980982,4.97845933,,,,,,,,,,
365,51:33.0,09:09.0,114.8980982,4.97845933,,,,,,,,,,
366,51:34.0,09:10.0,114.8980982,4.97845933,,,,,,,,,,
367,51:37.0,09:13.0,114.898098,4.97845917,,,,,,,,,,
368,51:38.0,09:14.0,114.8980978,4.97845917,,,,,,,,,,
369,51:39.0,09:15.0,114.8980978,4.97845917,,,,,,,,,,
370,51:40.0,09:16.0,114.8980978,4.978459,,,,,,,,,,
371,51:41.0,09:17.0,114.8980978,4.978459,,,,,,,,,,
372,51:43.0,09:19.0,114.8980977,4.97845883,,,,,,,,,,
373,51:44.0,09:20.0,114.8980977,4.97845883,,,,,,,,,,
374,51:46.0,09:22.0,114.8980975,4.97845883,,,,,,,,,,
375,51:49.0,09:25.0,114.8980973,4.97845883,,,,,,,,,,
376,51:50.0,09:26.0,114.8980972,4.97845883,,,,,,,,,,
377,51:52.0,09:28.0,114.8980972,4.97845883,,,,,,,,,,
378,51:57.0,09:33.0,114.8980967,4.978459,,,,,,,,,,
379,51:59.0,09:35.0,114.8980967,4.978459,,,,,,,,,,
380,52:01.0,09:37.0,114.8980965,4.97845917,,,,,,,,,,
381,52:03.0,09:39.0,114.8980965,4.97845917,,,,,,,,,,
382,52:04.0,09:40.0,114.8980965,4.97845917,,,,,,,,,,
383,52:07.0,09:43.0,114.8980963,4.978459,,,,,,,,,,
