Index,UTC,Lon,Lat
275,06:05:38.000 06/07/2023,114.89791333,4.97837483
276,06:05:40.000 06/07/2023,114.89792283,4.97837200
277,06:05:41.000 06/07/2023,114.89792433,4.97837133
278,06:05:42.000 06/07/2023,114.89792500,4.97837067
279,06:05:43.000 06/07/2023,114.89792533,4.97837000
280,06:05:44.000 06/07/2023,114.89792600,4.97836983
281,06:05:46.000 06/07/2023,114.89792750,4.97837000
282,06:05:47.000 06/07/2023,114.89792833,4.97837033
283,06:05:49.000 06/07/2023,114.89792983,4.97837100
284,06:05:50.000 06/07/2023,114.89793067,4.97837133
285,06:05:51.000 06/07/2023,114.89793150,4.97837183
286,06:05:53.000 06/07/2023,114.89793283,4.97837267
287,06:05:54.000 06/07/2023,114.89793350,4.97837317
288,06:05:56.000 06/07/2023,114.89793467,4.97837383
289,06:05:58.000 06/07/2023,114.89793567,4.97837450
290,06:05:59.000 06/07/2023,114.89793617,4.97837467
291,06:06:00.000 06/07/2023,114.89793667,4.97837500
292,06:06:01.000 06/07/2023,114.89793717,4.97837533
293,06:06:02.000 06/07/2023,114.89793767,4.97837550
294,06:06:04.000 06/07/2023,114.89793867,4.97837583
295,06:06:05.000 06/07/2023,114.89793883,4.97837600
296,06:06:06.000 06/07/2023,114.89793933,4.97837617
297,06:06:08.000 06/07/2023,114.89794000,4.97837650
298,06:06:10.000 06/07/2023,114.89794083,4.97837667
299,06:06:11.000 06/07/2023,114.89794117,4.97837683
300,06:06:12.000 06/07/2023,114.89794150,4.97837683
301,06:06:14.000 06/07/2023,114.89794217,4.97837717
302,06:06:16.000 06/07/2023,114.89794283,4.97837733
303,06:06:17.000 06/07/2023,114.89794333,4.97837750
304,06:06:18.000 06/07/2023,114.89794350,4.97837750
305,06:06:20.000 06/07/2023,114.89794417,4.97837750
306,06:06:22.000 06/07/2023,114.89794450,4.97837767
307,06:06:23.000 06/07/2023,114.89794483,4.97837767
308,06:06:24.000 06/07/2023,114.89794517,4.97837767
309,06:06:25.000 06/07/2023,114.89794533,4.97837783
310,06:06:26.000 06/07/2023,114.89794567,4.97837783
311,06:06:28.000 06/07/2023,114.89794600,4.97837817
312,06:06:29.000 06/07/2023,114.89794633,4.97837817
313,06:06:30.000 06/07/2023,114.89794650,4.97837817
314,06:06:31.000 06/07/2023,114.89794667,4.97837833
